beta-box [3.0000, 3.0010]: 21 t-boxes
beta-box [3.0010, 3.0020]: 21 t-boxes
beta-box [3.0020, 3.0030]: 21 t-boxes
beta-box [3.0030, 3.0040]: 21 t-boxes
beta-box [3.0040, 3.0050]: 21 t-boxes
beta-box [3.0050, 3.0060]: 21 t-boxes
beta-box [3.0060, 3.0070]: 21 t-boxes
beta-box [3.0070, 3.0080]: 21 t-boxes
beta-box [3.0080, 3.0090]: 21 t-boxes
beta-box [3.0090, 3.0100]: 21 t-boxes
beta-box [3.0100, 3.0110]: 21 t-boxes
beta-box [3.0110, 3.0120]: 21 t-boxes
beta-box [3.0120, 3.0130]: 21 t-boxes
beta-box [3.0130, 3.0140]: 21 t-boxes
beta-box [3.0140, 3.0150]: 21 t-boxes
beta-box [3.0150, 3.0160]: 21 t-boxes
beta-box [3.0160, 3.0170]: 21 t-boxes
beta-box [3.0170, 3.0180]: 21 t-boxes
beta-box [3.0180, 3.0190]: 21 t-boxes
beta-box [3.0190, 3.0200]: 21 t-boxes
beta-box [3.0200, 3.0210]: 21 t-boxes
beta-box [3.0210, 3.0220]: 21 t-boxes
beta-box [3.0220, 3.0230]: 21 t-boxes
beta-box [3.0230, 3.0240]: 21 t-boxes
beta-box [3.0240, 3.0250]: 21 t-boxes
beta-box [3.0250, 3.0260]: 21 t-boxes
beta-box [3.0260, 3.0270]: 21 t-boxes
beta-box [3.0270, 3.0280]: 22 t-boxes
beta-box [3.0280, 3.0290]: 22 t-boxes
beta-box [3.0290, 3.0300]: 22 t-boxes
beta-box [3.0300, 3.0310]: 22 t-boxes
beta-box [3.0310, 3.0320]: 22 t-boxes
beta-box [3.0320, 3.0330]: 22 t-boxes
beta-box [3.0330, 3.0340]: 22 t-boxes
beta-box [3.0340, 3.0350]: 22 t-boxes
beta-box [3.0350, 3.0360]: 22 t-boxes
beta-box [3.0360, 3.0370]: 22 t-boxes
beta-box [3.0370, 3.0380]: 22 t-boxes
beta-box [3.0380, 3.0390]: 22 t-boxes
beta-box [3.0390, 3.0400]: 22 t-boxes
beta-box [3.0400, 3.0410]: 22 t-boxes
beta-box [3.0410, 3.0420]: 22 t-boxes
beta-box [3.0420, 3.0430]: 22 t-boxes
beta-box [3.0430, 3.0440]: 22 t-boxes
beta-box [3.0440, 3.0450]: 22 t-boxes
beta-box [3.0450, 3.0460]: 22 t-boxes
beta-box [3.0460, 3.0470]: 22 t-boxes
beta-box [3.0470, 3.0480]: 22 t-boxes
beta-box [3.0480, 3.0490]: 22 t-boxes
beta-box [3.0490, 3.0500]: 22 t-boxes
beta-box [3.0500, 3.0510]: 22 t-boxes
beta-box [3.0510, 3.0520]: 22 t-boxes
beta-box [3.0520, 3.0530]: 22 t-boxes
beta-box [3.0530, 3.0540]: 22 t-boxes
beta-box [3.0540, 3.0550]: 22 t-boxes
beta-box [3.0550, 3.0560]: 22 t-boxes
beta-box [3.0560, 3.0570]: 22 t-boxes
beta-box [3.0570, 3.0580]: 22 t-boxes
beta-box [3.0580, 3.0590]: 22 t-boxes
beta-box [3.0590, 3.0600]: 22 t-boxes
beta-box [3.0600, 3.0610]: 22 t-boxes
beta-box [3.0610, 3.0620]: 22 t-boxes
beta-box [3.0620, 3.0630]: 22 t-boxes
beta-box [3.0630, 3.0640]: 22 t-boxes
beta-box [3.0640, 3.0650]: 22 t-boxes
beta-box [3.0650, 3.0660]: 22 t-boxes
beta-box [3.0660, 3.0670]: 22 t-boxes
beta-box [3.0670, 3.0680]: 22 t-boxes
beta-box [3.0680, 3.0690]: 22 t-boxes
beta-box [3.0690, 3.0700]: 22 t-boxes
beta-box [3.0700, 3.0710]: 22 t-boxes
beta-box [3.0710, 3.0720]: 22 t-boxes
beta-box [3.0720, 3.0730]: 22 t-boxes
beta-box [3.0730, 3.0740]: 22 t-boxes
beta-box [3.0740, 3.0750]: 22 t-boxes
beta-box [3.0750, 3.0760]: 22 t-boxes
beta-box [3.0760, 3.0770]: 22 t-boxes
beta-box [3.0770, 3.0780]: 22 t-boxes
beta-box [3.0780, 3.0790]: 22 t-boxes
beta-box [3.0790, 3.0800]: 22 t-boxes
beta-box [3.0800, 3.0810]: 22 t-boxes
beta-box [3.0810, 3.0820]: 22 t-boxes
beta-box [3.0820, 3.0830]: 22 t-boxes
beta-box [3.0830, 3.0840]: 22 t-boxes
beta-box [3.0840, 3.0850]: 22 t-boxes
beta-box [3.0850, 3.0860]: 22 t-boxes
beta-box [3.0860, 3.0870]: 22 t-boxes
beta-box [3.0870, 3.0880]: 22 t-boxes
beta-box [3.0880, 3.0890]: 22 t-boxes
beta-box [3.0890, 3.0900]: 22 t-boxes
beta-box [3.0900, 3.0910]: 22 t-boxes
beta-box [3.0910, 3.0920]: 22 t-boxes
beta-box [3.0920, 3.0930]: 22 t-boxes
beta-box [3.0930, 3.0940]: 22 t-boxes
beta-box [3.0940, 3.0950]: 22 t-boxes
beta-box [3.0950, 3.0960]: 22 t-boxes
beta-box [3.0960, 3.0970]: 22 t-boxes
beta-box [3.0970, 3.0980]: 22 t-boxes
beta-box [3.0980, 3.0990]: 22 t-boxes
beta-box [3.0990, 3.1000]: 22 t-boxes
beta-box [3.1000, 3.1010]: 22 t-boxes
beta-box [3.1010, 3.1020]: 22 t-boxes
beta-box [3.1020, 3.1030]: 22 t-boxes
beta-box [3.1030, 3.1040]: 22 t-boxes
beta-box [3.1040, 3.1050]: 22 t-boxes
beta-box [3.1050, 3.1060]: 22 t-boxes
beta-box [3.1060, 3.1070]: 22 t-boxes
beta-box [3.1070, 3.1080]: 22 t-boxes
beta-box [3.1080, 3.1090]: 22 t-boxes
beta-box [3.1090, 3.1100]: 22 t-boxes
beta-box [3.1100, 3.1110]: 22 t-boxes
beta-box [3.1110, 3.1120]: 22 t-boxes
beta-box [3.1120, 3.1130]: 22 t-boxes
beta-box [3.1130, 3.1140]: 22 t-boxes
beta-box [3.1140, 3.1150]: 22 t-boxes
beta-box [3.1150, 3.1160]: 22 t-boxes
beta-box [3.1160, 3.1170]: 22 t-boxes
beta-box [3.1170, 3.1180]: 22 t-boxes
beta-box [3.1180, 3.1190]: 22 t-boxes
beta-box [3.1190, 3.1200]: 22 t-boxes
beta-box [3.1200, 3.1210]: 22 t-boxes
beta-box [3.1210, 3.1220]: 23 t-boxes
beta-box [3.1220, 3.1230]: 23 t-boxes
beta-box [3.1230, 3.1240]: 23 t-boxes
beta-box [3.1240, 3.1250]: 23 t-boxes
beta-box [3.1250, 3.1260]: 23 t-boxes
beta-box [3.1260, 3.1270]: 23 t-boxes
beta-box [3.1270, 3.1280]: 23 t-boxes
beta-box [3.1280, 3.1290]: 23 t-boxes
beta-box [3.1290, 3.1300]: 23 t-boxes
beta-box [3.1300, 3.1310]: 23 t-boxes
beta-box [3.1310, 3.1320]: 23 t-boxes
beta-box [3.1320, 3.1330]: 23 t-boxes
beta-box [3.1330, 3.1340]: 23 t-boxes
beta-box [3.1340, 3.1350]: 23 t-boxes
beta-box [3.1350, 3.1360]: 23 t-boxes
beta-box [3.1360, 3.1370]: 23 t-boxes
beta-box [3.1370, 3.1380]: 23 t-boxes
beta-box [3.1380, 3.1390]: 23 t-boxes
beta-box [3.1390, 3.1400]: 24 t-boxes
beta-box [3.1400, 3.1410]: 24 t-boxes
beta-box [3.1410, 3.1420]: 24 t-boxes
beta-box [3.1420, 3.1430]: 24 t-boxes
beta-box [3.1430, 3.1440]: 24 t-boxes
beta-box [3.1440, 3.1450]: 24 t-boxes
beta-box [3.1450, 3.1460]: 24 t-boxes
beta-box [3.1460, 3.1470]: 24 t-boxes
beta-box [3.1470, 3.1480]: 24 t-boxes
beta-box [3.1480, 3.1490]: 24 t-boxes
beta-box [3.1490, 3.1500]: 24 t-boxes
beta-box [3.1500, 3.1510]: 24 t-boxes
beta-box [3.1510, 3.1520]: 24 t-boxes
beta-box [3.1520, 3.1530]: 24 t-boxes
beta-box [3.1530, 3.1540]: 24 t-boxes
beta-box [3.1540, 3.1550]: 24 t-boxes
beta-box [3.1550, 3.1560]: 24 t-boxes
beta-box [3.1560, 3.1570]: 24 t-boxes
beta-box [3.1570, 3.1580]: 24 t-boxes
beta-box [3.1580, 3.1590]: 24 t-boxes
beta-box [3.1590, 3.1600]: 24 t-boxes
beta-box [3.1600, 3.1610]: 24 t-boxes
beta-box [3.1610, 3.1620]: 24 t-boxes
beta-box [3.1620, 3.1630]: 24 t-boxes
beta-box [3.1630, 3.1640]: 24 t-boxes
beta-box [3.1640, 3.1650]: 24 t-boxes
beta-box [3.1650, 3.1660]: 24 t-boxes
beta-box [3.1660, 3.1670]: 24 t-boxes
beta-box [3.1670, 3.1680]: 24 t-boxes
beta-box [3.1680, 3.1690]: 24 t-boxes
beta-box [3.1690, 3.1700]: 24 t-boxes
beta-box [3.1700, 3.1710]: 24 t-boxes
beta-box [3.1710, 3.1720]: 24 t-boxes
beta-box [3.1720, 3.1730]: 24 t-boxes
beta-box [3.1730, 3.1740]: 24 t-boxes
beta-box [3.1740, 3.1750]: 24 t-boxes
beta-box [3.1750, 3.1760]: 24 t-boxes
beta-box [3.1760, 3.1770]: 24 t-boxes
beta-box [3.1770, 3.1780]: 24 t-boxes
beta-box [3.1780, 3.1790]: 24 t-boxes
beta-box [3.1790, 3.1800]: 24 t-boxes
beta-box [3.1800, 3.1810]: 24 t-boxes
beta-box [3.1810, 3.1820]: 24 t-boxes
beta-box [3.1820, 3.1830]: 24 t-boxes
beta-box [3.1830, 3.1840]: 24 t-boxes
beta-box [3.1840, 3.1850]: 24 t-boxes
beta-box [3.1850, 3.1860]: 24 t-boxes
beta-box [3.1860, 3.1870]: 24 t-boxes
beta-box [3.1870, 3.1880]: 24 t-boxes
beta-box [3.1880, 3.1890]: 24 t-boxes
beta-box [3.1890, 3.1900]: 24 t-boxes
beta-box [3.1900, 3.1910]: 24 t-boxes
beta-box [3.1910, 3.1920]: 24 t-boxes
beta-box [3.1920, 3.1930]: 24 t-boxes
beta-box [3.1930, 3.1940]: 24 t-boxes
beta-box [3.1940, 3.1950]: 24 t-boxes
beta-box [3.1950, 3.1960]: 24 t-boxes
beta-box [3.1960, 3.1970]: 24 t-boxes
beta-box [3.1970, 3.1980]: 24 t-boxes
beta-box [3.1980, 3.1990]: 25 t-boxes
beta-box [3.1990, 3.2000]: 25 t-boxes
beta-box [3.2000, 3.2010]: 25 t-boxes
beta-box [3.2010, 3.2020]: 25 t-boxes
beta-box [3.2020, 3.2030]: 25 t-boxes
beta-box [3.2030, 3.2040]: 25 t-boxes
beta-box [3.2040, 3.2050]: 25 t-boxes
beta-box [3.2050, 3.2060]: 25 t-boxes
beta-box [3.2060, 3.2070]: 25 t-boxes
beta-box [3.2070, 3.2080]: 25 t-boxes
beta-box [3.2080, 3.2090]: 25 t-boxes
beta-box [3.2090, 3.2100]: 25 t-boxes
beta-box [3.2100, 3.2110]: 25 t-boxes
beta-box [3.2110, 3.2120]: 25 t-boxes
beta-box [3.2120, 3.2130]: 25 t-boxes
beta-box [3.2130, 3.2140]: 25 t-boxes
beta-box [3.2140, 3.2150]: 25 t-boxes
beta-box [3.2150, 3.2160]: 25 t-boxes
beta-box [3.2160, 3.2170]: 25 t-boxes
beta-box [3.2170, 3.2180]: 25 t-boxes
beta-box [3.2180, 3.2190]: 25 t-boxes
beta-box [3.2190, 3.2200]: 25 t-boxes
beta-box [3.2200, 3.2210]: 25 t-boxes
beta-box [3.2210, 3.2220]: 25 t-boxes
beta-box [3.2220, 3.2230]: 25 t-boxes
beta-box [3.2230, 3.2240]: 25 t-boxes
beta-box [3.2240, 3.2250]: 25 t-boxes
beta-box [3.2250, 3.2260]: 25 t-boxes
beta-box [3.2260, 3.2270]: 26 t-boxes
beta-box [3.2270, 3.2280]: 26 t-boxes
beta-box [3.2280, 3.2290]: 26 t-boxes
beta-box [3.2290, 3.2300]: 26 t-boxes
beta-box [3.2300, 3.2310]: 26 t-boxes
beta-box [3.2310, 3.2320]: 26 t-boxes
beta-box [3.2320, 3.2330]: 26 t-boxes
beta-box [3.2330, 3.2340]: 26 t-boxes
beta-box [3.2340, 3.2350]: 26 t-boxes
beta-box [3.2350, 3.2360]: 26 t-boxes
beta-box [3.2360, 3.2370]: 26 t-boxes
beta-box [3.2370, 3.2380]: 26 t-boxes
beta-box [3.2380, 3.2390]: 26 t-boxes
beta-box [3.2390, 3.2400]: 26 t-boxes
beta-box [3.2400, 3.2410]: 26 t-boxes
beta-box [3.2410, 3.2420]: 26 t-boxes
beta-box [3.2420, 3.2430]: 26 t-boxes
beta-box [3.2430, 3.2440]: 26 t-boxes
beta-box [3.2440, 3.2450]: 26 t-boxes
beta-box [3.2450, 3.2460]: 26 t-boxes
beta-box [3.2460, 3.2470]: 26 t-boxes
beta-box [3.2470, 3.2480]: 26 t-boxes
beta-box [3.2480, 3.2490]: 26 t-boxes
beta-box [3.2490, 3.2500]: 26 t-boxes
beta-box [3.2500, 3.2510]: 26 t-boxes
beta-box [3.2510, 3.2520]: 26 t-boxes
beta-box [3.2520, 3.2530]: 26 t-boxes
beta-box [3.2530, 3.2540]: 26 t-boxes
beta-box [3.2540, 3.2550]: 26 t-boxes
beta-box [3.2550, 3.2560]: 26 t-boxes
beta-box [3.2560, 3.2570]: 26 t-boxes
beta-box [3.2570, 3.2580]: 26 t-boxes
beta-box [3.2580, 3.2590]: 26 t-boxes
beta-box [3.2590, 3.2600]: 26 t-boxes
beta-box [3.2600, 3.2610]: 26 t-boxes
beta-box [3.2610, 3.2620]: 26 t-boxes
beta-box [3.2620, 3.2630]: 26 t-boxes
beta-box [3.2630, 3.2640]: 26 t-boxes
beta-box [3.2640, 3.2650]: 26 t-boxes
beta-box [3.2650, 3.2660]: 26 t-boxes
