atom_id,repo,status,formula_ascii,lean_refs,source_refs,blockers
ym.frontier.hRpoly,the-eriksson-programme,repo_statement,"|Rsc(t,k)| <= A*exp(-c0*t)*g_k^kappa0",YangMills.RG.lattice_mass_gap_of_cluster_and_coupling;YangMills.RG.lattice_mass_gap_of_cluster_and_logistic_coupling,HYPOTHESIS_FRONTIER.md:28-45;YangMills/RG/UVMassGap.lean:79-140,
ym.core.area_ir,the-eriksson-programme,repo_statement,normalized Wilson loop <= Nc * exp(perimeter terms) * sigma^Area(C),normalized_wilson_loop_area_law;finite_volume_area_law_exp;gibbs_truncated_correlation_bound,README.md:150-201;CURRENT-STATE.md:76-100,
cmp116.eq229.d_stage,the-eriksson-programme,visual_confirmed_or_lean_encoded,sum_D prod_{Y in D} alpha6 * exp(-delta*kappa*d_k(Y)) <= 1,CMP116Eq229Summability;cmp116Eq229Weight;cmp116_DStage_sum_le_of_eq229,YangMills/RG/BalabanCMP116Eq229.lean:34-58;docs/source-db/examples/cmp116-current-seed.json:93-104,Cammarota CMP85 theorem extraction;D-family dictionary and thresholds
cmp116.eq231.p_stage,the-eriksson-programme,visual_confirmed_or_lean_encoded,rho=gamma2*epsilon1^2/(20*gk^2); sum_P exp(-rho*gapMass)*exp(-2*rho*|P|) <= 1 if 4*M^4*exp(-2*rho)<=rho,cmp116Eq231SourcePIndex;cmp116Eq231SourcePIndex_mem_iff;CMP116Eq231PBondBoundary.of_sourcePIndexMemIff;cmp116PGeometricFamilySummation_of_eq231,YangMills/RG/BalabanCMP116Eq231.lean:33-96;YangMills/RG/BalabanCMP116Eq231.lean:250-360;docs/source-db/examples/cmp116-current-seed.json:106-136,P-family source membership iff;positive-orientation carrier convention;pointwise P-residual majorization
cmp116.eq237.post_p,the-eriksson-programme,visual_confirmed_or_lean_encoded,"W(Z,Z0p)=exp(-((kappa1-1)*M^-4*gap))*prod_i(A237*exp(-b*metric_i))*exp(Calpha5*alpha5*|Z|)",cmp116Eq237FixedZ0PrimeWeight;cmp116PostPResidualSourceBound_of_eq237;cmp116PostPResidualSourceBound_of_eq237_globalIndex,YangMills/RG/BalabanCMP116Eq237.lean:183-228;YangMills/RG/BalabanCMP116Eq237.lean:58-108,fixed-Z0 prime source estimate;final Z0 prime summation;source dictionary for global index
dimock.cluster_standard_loss,the-eriksson-programme,source_extracted,|H(X)|<=H0*exp(-kappa*d_M(X)) => |H#(Y)|<=O(1)*H0*exp(-(kappa-3*kappa0-3)*d_M(Y)),AppendixFSecondUrsellClosure;AppendixFHsharpLeafSource,docs/source-db/catalogs/dimock-rg-i-iii-extracted.json:10-77,ordinary-vs-holes metric dictionary;finite connected-cover entropy constants
dimock.green_resolvent_decay,the-eriksson-programme,source_extracted,"C_(k,r)=A_(k,r)+a_k^2*A_(k,r)*Q_k*G_(k,r)*Q_k^T*A_(k,r); G_k=sum_omega G_(k,omega); |G_k f|<=C exp(-(gamma0/2)d)||f||_inf",PhysicalLocalizedCovarianceRootCertificate;CovarianceKernel;KernelDecay,docs/source-db/catalogs/dimock-rg-i-iii-extracted.json:80-139;docs/source-db/catalogs/dimock-rg-i-iii-extracted.json:300-360,physical gauge operator dictionary;root localization proof
dimock.appendixF_holes,the-eriksson-programme,source_extracted,d_M(Y mod Omega^c)<=sum_i d_M(X_i mod Omega^c)+(n-1); |K(Y)|<=O(1)H0 exp(-(kappa-kappa0-2)d_M(Y)); H#(Y)=sum_{n>=1}1/n! sum_{union Yi=Y} rho^T prod K#(Yi),appendixFHoleCoverUnion_discreteModifiedMetric_add_one_le_sum;AppendixFSecondUrsellClosure,docs/source-db/catalogs/dimock-rg-i-iii-extracted.json:575-760,connected cover entropy;measurable K/K# for physical field types
tree.target_preserving_bound,lean-rooted-tree-polymer-expansion,verified_artifact,(n+1)/(n+1)! * sum_T prod_v c_T(v)! <= 4^n; T_n(Y)<=M*exp(-rho*m(Y))*L^n,MarkedRootedClosure.normalizedRootedChildFactorialTreeBound;MarkedRootedClosure.targetPreservingWeightedTreeBound,README.md:34-63;archive/theorem-manifest.json:15-49,not model-specific hRpoly
tree.catalan_identity,rooted-tree-catalan-closure,verified_artifact,sum_T prod_v c_T(v)! = n! * Catalan(n),YangMills.KP.rootedChildFactorialCatalanIdentity_holds;YangMills.KP.rootedChildCount_factorialTreeSum_normalized_eq_catalan,PR #5 merge 6815950b683b39b7e1e8eea5dea8ca2fbc9cb822;artifact-ci run 28617353894;README.md:33-65;archive/theorem-manifest.json:5-48,downstream YM use still requires separate Appendix-F/source-dictionary hypotheses
riemann.error_budget,riemann-prime-resolvent,verified_lean_bookkeeping,|spectral-prime| <= |spectral-prolate|+|prolate-target|+|target-prime|; componentwise E_i->0 => total->0,RiemannPrimeResolvent.ErrorBudget.total_nonneg;RiemannPrimeResolvent.three_step_triangle;RiemannPrimeResolvent.VanishingBudget.total,RiemannPrimeResolvent/Basic.lean:20-68;RiemannPrimeResolvent/Convergence.lean:21-42;docs/THEOREM-LEDGER.md:11-18,analogy only; must instantiate with YM quantities
riemann.resolvent_tail_rate,riemann-prime-resolvent,verified_lean_bookkeeping,"primeTailMajorant(delta,X)=exp(-delta*log X)*(log X/delta+1/delta^2); rateExponent(q)=min((2q-1)/3,2/3)",finiteSquaredResolvent_nonneg;primeTailMajorant_nonneg;rateExponent_pos;rateExponent_le_two_thirds,RiemannPrimeResolvent/FiniteStieltjes.lean:23-60;RiemannPrimeResolvent/PrimeTail.lean:20-49;RiemannPrimeResolvent/RateOptimization.lean:19-47,do not import RH content; use as finite positivity/rate template only
physmath.research_moves,physmath-knowledge-tree,governed_heuristic,"move = {description, output, risks, lean_test}",PhysMathKnowledgeTree.Bridge examples;Lean target audit queue,graph/research_moves.json:66-79;graph/research_moves.json:187-247;graph/research_moves.json:249-360,"heuristic, not theorem evidence"
