rank,key,topic,status,source_keys,live_hypotheses,removes,lean_targets,next_action
1,proof.eq231.membership-iff.source-package,CMP116 Eq. (2.31) P-family source dictionary,blocked_on_source,cmp116.eq231.p-family-carrier-source-target; cmp109.bond-convention.positive-oriented; crosswalk.eq231.p-family-source-dictionary-route,hPIndex; hPcarrier on non-filtered sourceBondSets route,caller-supplied PIndex = cmp116Eq231SourcePIndex gapCubes admissible; manual carrier containment for source P,cmp116Eq231_balabanPFamily_sourcePIndexMemIff; cmp116Eq231PIndex_eq_sourceFilteredBondSets_of_mem_iff; CMP116Lemma3PStageSourceScaleBoundary.of_eq231_filteredBondSets; CMP116Lemma3WeightedPostPScaleSourceAssumptions.of_eq231_filteredBondSets,Open CMP116 page 12 and pages 18-19 only; extract the eligible bond universe and exact iff.
2,proof.eq231.carrier-count.four-positive-directions,CMP116 Eq. (2.31) eligible carrier cardinality,blocked_on_source,cmp116.eq231.p-family-carrier-source-target; cmp109.bond-convention.positive-oriented,bondCarrier_card_le inside CMP116Eq231PBondBoundary; positive-tail ownership of eligible bonds,abstract carrier-count field for concrete source route,CMP116Eq231PBondBoundary.of_sourceBondSets; CMP116Eq231PBondBoundary.of_sourceFilteredBondSets; CMP116Eq231BalabanPFamilySourcePackage.of_bond_fst_mem_gapCubes; cmp116Eq231_source_subset_gapCarrier_of_bond_fst_mem_gapCubes; cmp116Eq231GapCarrier_card_le_four_scale4_gapMass,"Search only for CMP116-specific carrier ownership; CMP109 supplies ambient orientation, not the count."
3,proof.eq231.pointwise-p-residual-majorization,CMP116 Eq. (2.31) pointwise P-residual majorization,analytic_blocker,cmp116.eq231.p-bond-sum; cmp116.eq231.p-family-carrier-source-target,hpointwise; hgeometry or source identification of pGeometryWeight,manual pointwise P residual bound feeding P-stage summability,cmp116PStageSourceBound_of_eq231_pointwise; CMP116Lemma3PStageSourceScaleBoundary.of_eq231_pointwise; CMP116Lemma3WeightedPostPScaleSourceAssumptions.of_eq231_boundaries,"After P dictionary, inspect the factors surrounding Eq. (2.31) to identify pResidualWeight and pGeometryWeight."
4,proof.eq229.cammarota-dstage-summability,CMP116 Eq. (2.29) D-stage product summability via Cammarota CMP85,blocked_on_external_source,cmp116.eq229.d-stage-summability; cmp109.ref26.cammarota-infinite-range-cluster; cammarota.cmp85.polymer-mayer-source-target; crosswalk.eq229.cammarota-dstage-route,CMP116Lemma3Eq229ScaleBoundary; CMP116Eq229Summability; DIndex/DParts dictionary,manual Eq. (2.29) D-stage summability; qualitative sufficiently-large/small source gap,CMP116Lemma3Eq229ScaleBoundary; CMP116Eq229Summability; cmp116H_termWeightSum_le_of_eq229; cmp116H_termWeightSum_le_of_eq229_of_pStagePostPResidualBound,"Use the Archive-private Cammarota CMP85 packet or a repo-private clean artifact manifest only to extract the remaining Theorem 1 conclusion, hypotheses, constants, compatibility relation, uniformity, and the Balaban D-family dictionary. Do not theorem-feed Eq. (2.29), CMP116Eq229Summability, or DIndex/DParts from the single Eq. (1.4) premise field."
5,proof.eq237.fixed-z0prime-source-estimate,CMP116 Eq. (2.37) fixed-Z0' source estimate,source_display_dictionary_blocker,cmp116.eq237.post-p-resummation; cmp116.constants.c3-alpha5; crosswalk.eq237.combined-postp-route,fixed-Z0' Eq. (2.37) premise; post-(2.37) final summation; Z0/Z0' source dictionary,caller-supplied combined CMP116PostPResidualSourceBound inputs,cmp116PostPResidualSourceBound_of_eq237; CMP116Eq237MajorizationBoundary; cmp116Eq237FixedZ0PrimeWeight; cmp116Eq237Amplitude,Consume the named fixed-Z0' display and post-(2.37) final-summation premises by closing the D/P/Z0/Z0' dictionary, connected-component product dictionary, alpha5/C3 majorants, and half-exponent reserve; do not split off standalone normalized Z0 or Z0' theorems.
6,proof.activity.termwise-identification,CMP116 H(Z) activity identification and termwise estimate,source_to_lean_dictionary_blocker,cmp116.localized-activity.2.7-2.10; cmp116.lemma3.window.2.14-2.38; crosswalk.gaussian-root-activity-route,CMP116Lemma3ActivityTermwiseScaleBoundary.activity_identification; CMP116Lemma3ActivityTermwiseScaleBoundary.termwise_estimate,manual hglobal activity identification; manual hterm termwise norm estimate,CMP116Lemma3ActivityTermwiseScaleBoundary; cmp116Lemma3ActivityEstimateScaleFamily_of_resummation; PhysicalGaugeLocalActivity.globalEval,"Extract H(Z) finite-sum dictionary around CMP116 (2.7)-(2.14), then feed termwise estimates around (2.14)-(2.38)."
7,proof.gaussian.root.localization-certificate,Gaussian pushforward and covariance-root localization certificate,source_to_lean_dictionary_blocker,cmp116.gaussian-pushforward.2.5-2.6; cmp116.localized-activity.2.7-2.10; cmp95.covariance-green.bounds-source-target; cmp99.background-field-propagator-source-target; cmp102.variational-hessian-expansion-source-target; cmp96.one-step-covariance-law-source-target,gaussian_pushforward; root_localization; PhysicalLocalizedCovarianceRootCertificate,manual Gaussian/root/source package fields,PhysicalLocalizedCovarianceRootCertificate; PhysicalGaugeCMP116LocalizedGaussianActivitySourceHypotheses.gaussian_pushforward; balabanCMP116Dmu0; physicalPrecisionDefect; isCoerciveCLM_physicalPrecision_of_catalanMajorantPartial_defect; covarianceOfPhysicalPrecisionCatalanDefect,"Prove the source-to-Lean dictionary linking CMP95/CMP99/CMP102 objects to the repository covariance/root and Hessian interfaces; CMP96 remains pending for the one-step covariance law."
8,proof.dimock.appendixf.hsharp-feed,Dimock Appendix F H# route into hole-cluster machinery,partially_source_extracted,crosswalk.dimock.appendixf-hole-cluster-route; dimockii.appendix-f.cluster-with-holes; dimockii.appendix-f.second-ursell.645-646,activity bound |H(X)| <= H0 exp(-kappa d_M); H0 <= c0; kappa >= 3*kappa0+3; modified metric summability,manual cluster-with-holes package once activity estimate is supplied,omegaHolePolymerSystem_KPCriterion_volumeUniform_skeleton_exp_of_metric_bound; balabanCMP116AppendixFHsharpOfIntegratedKsharp; appendixFHoleExpWeight,Use Batch 001 Dimock extraction as stable; focus on feeding the activity bound from CMP116/Balaban.
9,proof.cmp122.r-operation-polymer-local-bound,CMP122-I/II and CMP119 localized R-operation bounds,located_not_fully_extracted,cmp119.density-expansion-form.2.18; cmp119.t-operation-action-factorization.2.19-2.23; cmp119.e-term-local-regularity.2.24-2.29; cmp119.r-term-bound.2.31; cmp119.b-term-local-regularity-bound.2.34-2.42; cmp119.rt-improved-new-expressions.before-theorem1; cmp119.theorem1.rt-inductive-assumptions; cmp122ii.theorem1.coupling-interval-induction; cmp122i.large-field-c-bound.1.70; cmp122ii.rprime-bound.1.98-1.100; cmp122ii.post-r-action-split.1.101; crosswalk.r-operation-polymer-local-route,RawYMActivityDecay; polymer-local R/B/C source bounds; large-field dictionary; post-R action/local-activity dictionary,surrogate scalar R_k <= M r^k when replaced by faithful polymer-local bound plus flow bridge,YangMills.RG.RawYMActivityDecay; YangMills.RG.CMP116RawSourceM3Frontier; YangMills.RG.CMP119CMP122ERBSourceDecomposition; YangMills.RG.CMP119BLocalSourceBound; YangMills.RG.CMP116Lemma3DeltaRlocComponentEstimates.to_ERBComponentBoundary_of_cmp119CMP122SourceDecomposition_and_cmp119BLocalSourceBound_weightTransport; YangMills.RG.CMP116Lemma3DeltaRlocSourceEstimates.to_ERBComponentBoundary_of_cmp119CMP122SourceDecomposition_and_cmp119BLocalSourceBound_weightTransport; YangMills.RG.CMP116Lemma3DeltaRlocSourceEstimates.to_ERBComponentBoundary_of_cmp119CMP122SourceDecomposition_and_cmp119BLocalSourceBound_weightTransport_amplitudeAndActivityDictionaries; YangMills.RG.CMP116Lemma3DeltaRlocSourceEstimates.to_ERBComponentBoundary_of_cmp119CMP122SourceDecomposition_and_cmp119BLocalSourceBound_sourceDictionaries,Extract each certificate field and the post-R action/local-activity dictionary separately; do not collapse them into RawYMActivityDecay or component decay.
10,proof.flow.ir.bridge,Flow and IR bridge separating marginal logarithmic flow from irrelevant geometric contraction,conceptual_bridge_blocker,crosswalk.flow-ir-asymptotic-freedom-route,coupling flow assumptions; ir_bound; geometric contraction of irrelevant operators,misuse of g_k <= C*r^k for 4D marginal gauge coupling,CouplingFlow.logistic_geometric_decay; remainder_geometric_of_logistic; BalabanCMP116SourceAssumptions.coupling_recursion; BalabanCMP116SourceAssumptions.ir_bound,Catalog exact beta-flow formulas and separate them from the already-formal irrelevant logistic surrogate.
11,proof.source-status-promotion.gates,Quality gates for promoting a citation to source_extracted/theorem_checked,process_guardrail,docs.SOURCE-CITATIONS; docs.source-db.README,source_pending entries; ocr_corrupted entries; visual_confirmed but not theorem-feedable entries,false progress from plausible OCR or theorem-looking wrappers,source_db.verify; source_db.build; oracle_check.lean,Use the promotion checklist before every source-db commit.
12,proof.final-frontier.pipeline,End-to-end source frontier pipeline from CMP116 Lemma 3 to raw-source M3 frontier,aggregate_route,crosswalk.final-frontier-pipeline; cmp116.lemma3.final-2.38; cmp116.effective-action.2.39-2.41,Eq. (2.29); Eq. (2.31); Eq. (2.37); activity/termwise; Gaussian/root/Hessian/H#; flow and IR,manual CMP116RawSourceM3Frontier fields only after all upstream cards close,CMP116RawSourceM3Frontier; BalabanCMP116SourceTheorem; CMP116Lemma3WeightedPostPScaleSourceAssumptions.lemma3_activity_estimate_of_eq237,Use this only as a dashboard; implement the smallest upstream source theorem first.
