PROVENANCE script=scripts/certify_right_edge_beta_taylor_arb.py
PROVENANCE script_sha256=d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
PROVENANCE git_head=d7919ff2f64ffd17669aab4fc756070cbb942a18
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=140
PROVENANCE bulk_dependency_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG beta_order=12 d_order=9 CWIN=3/2 splice=1/500 initial_db=0.025
beta-box [15.0,15.025]: normalized=1 regular=13
beta-box [15.025,15.05]: normalized=1 regular=13
beta-box [15.05,15.075]: normalized=1 regular=13
beta-box [15.075,15.1]: normalized=1 regular=13
beta-box [15.1,15.125]: normalized=1 regular=13
beta-box [15.125,15.15]: normalized=1 regular=13
beta-box [15.15,15.175]: normalized=1 regular=13
beta-box [15.175,15.2]: normalized=1 regular=13
beta-box [15.2,15.225]: normalized=1 regular=13
beta-box [15.225,15.25]: normalized=1 regular=13
beta-box [15.25,15.275]: normalized=1 regular=13
beta-box [15.275,15.3]: normalized=1 regular=13
beta-box [15.3,15.325]: normalized=1 regular=13
beta-box [15.325,15.35]: normalized=1 regular=13
beta-box [15.35,15.375]: normalized=1 regular=13
beta-box [15.375,15.4]: normalized=1 regular=13
beta-box [15.4,15.425]: normalized=1 regular=13
beta-box [15.425,15.45]: normalized=1 regular=13
beta-box [15.45,15.475]: normalized=1 regular=13
beta-box [15.475,15.5]: normalized=1 regular=13
beta-box [15.5,15.525]: normalized=1 regular=13
beta-box [15.525,15.55]: normalized=1 regular=13
beta-box [15.55,15.575]: normalized=1 regular=12
beta-box [15.575,15.6]: normalized=1 regular=12
beta-box [15.6,15.625]: normalized=1 regular=12
beta-box [15.625,15.65]: normalized=1 regular=12
beta-box [15.65,15.675]: normalized=1 regular=12
beta-box [15.675,15.7]: normalized=1 regular=12
beta-box [15.7,15.725]: normalized=1 regular=12
beta-box [15.725,15.75]: normalized=1 regular=12
beta-box [15.75,15.775]: normalized=1 regular=12
beta-box [15.775,15.8]: normalized=1 regular=12
beta-box [15.8,15.825]: normalized=1 regular=12
beta-box [15.825,15.85]: normalized=1 regular=12
beta-box [15.85,15.875]: normalized=1 regular=12
beta-box [15.875,15.9]: normalized=1 regular=12
beta-box [15.9,15.925]: normalized=1 regular=12
beta-box [15.925,15.95]: normalized=1 regular=12
beta-box [15.95,15.975]: normalized=1 regular=12
beta-box [15.975,16.0]: normalized=1 regular=12
beta-box [16.0,16.025]: normalized=1 regular=12
beta-box [16.025,16.05]: normalized=1 regular=12
beta-box [16.05,16.075]: normalized=1 regular=12
beta-box [16.075,16.1]: normalized=1 regular=12
beta-box [16.1,16.125]: normalized=1 regular=12
beta-box [16.125,16.15]: normalized=1 regular=12
beta-box [16.15,16.175]: normalized=1 regular=12
beta-box [16.175,16.2]: normalized=1 regular=12
beta-box [16.2,16.225]: normalized=1 regular=12
beta-box [16.225,16.25]: normalized=1 regular=12
beta-box [16.25,16.275]: normalized=1 regular=12
beta-box [16.275,16.3]: normalized=1 regular=12
beta-box [16.3,16.325]: normalized=1 regular=12
beta-box [16.325,16.35]: normalized=1 regular=12
beta-box [16.35,16.375]: normalized=1 regular=12
beta-box [16.375,16.4]: normalized=1 regular=12
beta-box [16.4,16.425]: normalized=1 regular=12
beta-box [16.425,16.45]: normalized=1 regular=12
beta-box [16.45,16.475]: normalized=1 regular=12
beta-box [16.475,16.5]: normalized=1 regular=12
