PROVENANCE script=scripts/certify_left_edge_beta_taylor_arb.py
PROVENANCE script_sha256=1ea85d53518f71dd4a1986e91b8b3c8df56fa9eaad01b462be2c5862019d6ddc
PROVENANCE git_head=643c62d68758932bb896b1d236b41a0a1f590441
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=140
PROVENANCE bulk_dependency_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG beta_order=12 t_order=9 splice=1/5 initial_db=0.1
beta-box [3.0,3.1]: normalized=1 regular=7
beta-box [3.1,3.2]: normalized=1 regular=7
beta-box [3.2,3.3]: normalized=1 regular=7
beta-box [3.3,3.4]: normalized=1 regular=7
beta-box [3.4,3.5]: normalized=1 regular=7
beta-box [3.5,3.6]: normalized=1 regular=7
beta-box [3.6,3.7]: normalized=1 regular=7
beta-box [3.7,3.8]: normalized=1 regular=7
beta-box [3.8,3.9]: normalized=1 regular=7
beta-box [3.9,4.0]: normalized=1 regular=7
beta-box [4.0,4.1]: normalized=1 regular=7
beta-box [4.1,4.2]: normalized=1 regular=7
beta-box [4.2,4.3]: normalized=1 regular=7
beta-box [4.3,4.4]: normalized=1 regular=7
beta-box [4.4,4.5]: normalized=1 regular=7
beta-box [4.5,4.6]: normalized=1 regular=7
beta-box [4.6,4.7]: normalized=1 regular=7
beta-box [4.7,4.8]: normalized=1 regular=7
beta-box [4.8,4.9]: normalized=1 regular=6
beta-box [4.9,5.0]: normalized=1 regular=6
beta-box [5.0,5.1]: normalized=1 regular=6
beta-box [5.1,5.2]: normalized=1 regular=6
beta-box [5.2,5.3]: normalized=1 regular=6
beta-box [5.3,5.4]: normalized=1 regular=6
beta-box [5.4,5.5]: normalized=1 regular=6
beta-box [5.5,5.6]: normalized=1 regular=6
beta-box [5.6,5.7]: normalized=1 regular=6
beta-box [5.7,5.8]: normalized=1 regular=6
beta-box [5.8,5.9]: normalized=1 regular=6
beta-box [5.9,6.0]: normalized=1 regular=6
beta-box [6.0,6.1]: normalized=1 regular=6
beta-box [6.1,6.2]: normalized=1 regular=6
beta-box [6.2,6.3]: normalized=1 regular=6
beta-box [6.3,6.4]: normalized=1 regular=6
beta-box [6.4,6.5]: normalized=1 regular=6
beta-box [6.5,6.6]: normalized=1 regular=6
beta-box [6.6,6.7]: normalized=1 regular=6
beta-box [6.7,6.8]: normalized=1 regular=6
beta-box [6.8,6.9]: normalized=1 regular=6
beta-box [6.9,7.0]: normalized=1 regular=6
beta-box [7.0,7.1]: normalized=1 regular=6
beta-box [7.1,7.2]: normalized=1 regular=6
beta-box [7.2,7.3]: normalized=1 regular=6
beta-box [7.3,7.4]: normalized=1 regular=6
beta-box [7.4,7.5]: normalized=1 regular=6
beta-box [7.5,7.6]: normalized=1 regular=6
beta-box [7.6,7.7]: normalized=1 regular=6
beta-box [7.7,7.8]: normalized=1 regular=6
beta-box [7.8,7.9]: normalized=1 regular=6
beta-box [7.9,8.0]: normalized=1 regular=6
beta-box [8.0,8.1]: normalized=1 regular=6
beta-box [8.1,8.2]: normalized=1 regular=6
beta-box [8.2,8.3]: normalized=1 regular=6
beta-box [8.3,8.4]: normalized=1 regular=6
beta-box [8.4,8.5]: normalized=1 regular=6
beta-box [8.5,8.6]: normalized=1 regular=6
beta-box [8.6,8.7]: normalized=1 regular=6
beta-box [8.7,8.8]: normalized=1 regular=6
beta-box [8.8,8.9]: normalized=1 regular=6
beta-box [8.9,9.0]: normalized=1 regular=6
beta-box [9.0,9.1]: normalized=1 regular=6
beta-box [9.1,9.2]: normalized=1 regular=6
beta-box [9.2,9.3]: normalized=1 regular=6
beta-box [9.3,9.4]: normalized=1 regular=6
beta-box [9.4,9.5]: normalized=1 regular=6
beta-box [9.5,9.6]: normalized=1 regular=6
beta-box [9.6,9.7]: normalized=1 regular=6
beta-box [9.7,9.8]: normalized=1 regular=6
beta-box [9.8,9.9]: normalized=1 regular=6
beta-box [9.9,10.0]: normalized=1 regular=6
beta-box [10.0,10.1]: normalized=1 regular=6
beta-box [10.1,10.2]: normalized=1 regular=6
beta-box [10.2,10.3]: normalized=1 regular=6
beta-box [10.3,10.4]: normalized=1 regular=6
beta-box [10.4,10.5]: normalized=1 regular=6
beta-box [10.5,10.6]: normalized=1 regular=6
beta-box [10.6,10.7]: normalized=1 regular=6
beta-box [10.7,10.8]: normalized=1 regular=6
beta-box [10.8,10.9]: normalized=1 regular=6
beta-box [10.9,11.0]: normalized=1 regular=6
beta-box [11.0,11.1]: normalized=1 regular=6
beta-box [11.1,11.2]: normalized=1 regular=6
beta-box [11.2,11.3]: normalized=1 regular=6
beta-box [11.3,11.4]: normalized=1 regular=6
beta-box [11.4,11.5]: normalized=1 regular=6
beta-box [11.5,11.6]: normalized=1 regular=6
beta-box [11.6,11.7]: normalized=1 regular=5
beta-box [11.7,11.8]: normalized=1 regular=5
beta-box [11.8,11.9]: normalized=1 regular=5
beta-box [11.9,12.0]: normalized=1 regular=5
beta-box [12.0,12.1]: normalized=1 regular=5
beta-box [12.1,12.2]: normalized=1 regular=5
beta-box [12.2,12.3]: normalized=1 regular=5
beta-box [12.3,12.4]: normalized=1 regular=5
beta-box [12.4,12.5]: normalized=1 regular=5
beta-box [12.5,12.6]: normalized=1 regular=5
beta-box [12.6,12.7]: normalized=1 regular=5
beta-box [12.7,12.8]: normalized=1 regular=5
beta-box [12.8,12.9]: normalized=1 regular=5
beta-box [12.9,13.0]: normalized=1 regular=4
beta-box [13.0,13.1]: normalized=1 regular=4
beta-box [13.1,13.2]: normalized=1 regular=4
beta-box [13.2,13.3]: normalized=1 regular=4
beta-box [13.3,13.4]: normalized=1 regular=4
beta-box [13.4,13.5]: normalized=1 regular=4
beta-box [13.5,13.6]: normalized=1 regular=4
