PROVENANCE script=scripts/certify_bulk_beta_taylor_arb.py
PROVENANCE script_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
PROVENANCE git_head=e60cac9e284ba38f870db353b91e95916de01184
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=130
CONFIG prec=130 beta_order=12 t_order=9 initial_db=0.1 CWIN=3/2 PI_UP=31415927/10000000
beta-box [6.0, 6.1]: 18 t-boxes
beta-box [6.1, 6.2]: 19 t-boxes
beta-box [6.2, 6.3]: 19 t-boxes
beta-box [6.3, 6.4]: 19 t-boxes
beta-box [6.4, 6.5]: 20 t-boxes
beta-box [6.5, 6.6]: 20 t-boxes
beta-box [6.6, 6.7]: 20 t-boxes
beta-box [6.7, 6.8]: 20 t-boxes
beta-box [6.8, 6.9]: 21 t-boxes
beta-box [6.9, 7.0]: 21 t-boxes
beta-box [7.0, 7.1]: 21 t-boxes
beta-box [7.1, 7.2]: 22 t-boxes
beta-box [7.2, 7.3]: 23 t-boxes
beta-box [7.3, 7.4]: 24 t-boxes
beta-box [7.4, 7.5]: 24 t-boxes
beta-box [7.5, 7.6]: 24 t-boxes
beta-box [7.6, 7.7]: 24 t-boxes
beta-box [7.7, 7.8]: 24 t-boxes
beta-box [7.8, 7.9]: 24 t-boxes
beta-box [7.9, 8.0]: 25 t-boxes
beta-box [8.0, 8.1]: 25 t-boxes
beta-box [8.1, 8.2]: 25 t-boxes
beta-box [8.2, 8.3]: 26 t-boxes
beta-box [8.3, 8.4]: 26 t-boxes
beta-box [8.4, 8.5]: 26 t-boxes
beta-box [8.5, 8.6]: 26 t-boxes
beta-box [8.6, 8.7]: 26 t-boxes
beta-box [8.7, 8.8]: 27 t-boxes
beta-box [8.8, 8.9]: 28 t-boxes
beta-box [8.9, 9.0]: 28 t-boxes
beta-box [9.0, 9.1]: 28 t-boxes
beta-box [9.1, 9.2]: 28 t-boxes
beta-box [9.2, 9.3]: 29 t-boxes
beta-box [9.3, 9.4]: 29 t-boxes
beta-box [9.4, 9.5]: 29 t-boxes
beta-box [9.5, 9.6]: 30 t-boxes
beta-box [9.6, 9.7]: 31 t-boxes
beta-box [9.7, 9.8]: 33 t-boxes
beta-box [9.8, 9.9]: 33 t-boxes
beta-box [9.9, 10.0]: 34 t-boxes
beta-box [10.0, 10.1]: 34 t-boxes
beta-box [10.1, 10.2]: 35 t-boxes
beta-box [10.2, 10.3]: 35 t-boxes
beta-box [10.3, 10.4]: 36 t-boxes
beta-box [10.4, 10.5]: 36 t-boxes
beta-box [10.5, 10.6]: 37 t-boxes
beta-box [10.6, 10.7]: 37 t-boxes
beta-box [10.7, 10.8]: 37 t-boxes
beta-box [10.8, 10.9]: 38 t-boxes
beta-box [10.9, 11.0]: 39 t-boxes
beta-box [11.0, 11.1]: 39 t-boxes
beta-box [11.1, 11.2]: 41 t-boxes
beta-box [11.2, 11.3]: 41 t-boxes
beta-box [11.3, 11.4]: 41 t-boxes
beta-box [11.4, 11.5]: 42 t-boxes
beta-box [11.5, 11.6]: 42 t-boxes
beta-box [11.6, 11.7]: 42 t-boxes
beta-box [11.7, 11.8]: 43 t-boxes
beta-box [11.8, 11.9]: 43 t-boxes
beta-box [11.9, 12.0]: 43 t-boxes
beta-box [12.0, 12.1]: 43 t-boxes
beta-box [12.1, 12.2]: 44 t-boxes
beta-box [12.2, 12.3]: 44 t-boxes
beta-box [12.3, 12.4]: 44 t-boxes
beta-box [12.4, 12.5]: 44 t-boxes
beta-box [12.5, 12.6]: 45 t-boxes
beta-box [12.6, 12.7]: 45 t-boxes
beta-box [12.7, 12.8]: 46 t-boxes
beta-box [12.8, 12.9]: 46 t-boxes
beta-box [12.9, 13.0]: 46 t-boxes
beta-box [13.0, 13.1]: 47 t-boxes
beta-box [13.1, 13.2]: 48 t-boxes
beta-box [13.2, 13.3]: 48 t-boxes
beta-box [13.3, 13.4]: 48 t-boxes
beta-box [13.4, 13.5]: 48 t-boxes
beta-box [13.5, 13.6]: 48 t-boxes
beta-box [13.6, 13.7]: 49 t-boxes
beta-box [13.7, 13.8]: 49 t-boxes
beta-box [13.8, 13.9]: 49 t-boxes
beta-box [13.9, 14.0]: 49 t-boxes
beta-box [14.0, 14.1]: 49 t-boxes
beta-box [14.1, 14.2]: 50 t-boxes
beta-box [14.2, 14.3]: 51 t-boxes
beta-box [14.3, 14.4]: 51 t-boxes
beta-box [14.4, 14.5]: 51 t-boxes
beta-box [14.5, 14.6]: 51 t-boxes
beta-box [14.6, 14.7]: 52 t-boxes
beta-box [14.7, 14.8]: 52 t-boxes
beta-box [14.8, 14.9]: 52 t-boxes
beta-box [14.9, 15.0]: 53 t-boxes
CERTIFIED (beta-Taylor, Arb): W < 0 on [0.6, pi-1.5/beta] x [6.0, 15.0]; 3222 t-boxes total
