citation_key,source_id,printed_pages,pdf_pages,equations,status,summary
dimocki.cluster-expansion.theorem27.296-299,dimock_i,39,39,296;297;298;299,source_extracted,"Standard ultralocal cluster-expansion theorem with exact smallness threshold, local influence and the 3*kappa0+3 decay loss."
dimocki.covariance-resolvent.334-335,dimock_i,44,44,334;335,source_extracted,"Lemma 28 resolves C_{k,r} into local algebraic factors and a Green operator, the identity later localized by random-walk expansions."
dimocki.gaussian-normalization.66-74,dimock_i,9-10,9-10,66;67;68;69;70;72;73;74,source_extracted,"Exact small-field minimizer expansion, fluctuation covariance and one-step Gaussian normalization/scaling formulas."
dimocki.lemma25.polymer-summability.289-290,dimock_i,37,38 (PDF index 37),289;290,source_extracted,"Uniform summability of connected M-polymers pinned at one block, by size and by tree distance."
dimocki.lemma6.random-walk-green.84-85,dimock_i,11,11 (PDF index 10),84;85,source_extracted,Random-walk expansion of G_k and uniform exponential block-distance estimates for G_k and differentiated variants.
dimocki.polymer-summability.corollary26.292-295,dimock_i,38-39,38-39,292;293;294;295,source_extracted,Polymer counting and metric-weight summability around a pinned cube or an intersected target polymer.
dimocki.references.balaban-primary-spine,dimock_i,50-51,51-52 (PDF indices 50-51),,source_extracted,Bibliographic spine locating the main Balaban lattice-gauge papers and Cammarota CMP85 from one checked primary reference list.
dimocki.small-field-cluster.235-237,dimock_i,30,30,235;236;237,source_extracted,Lemma 21 turns the localized small-field fluctuation integral into an exponential of local activities with explicit scale and metric decay.
dimockii.appendix-f.metric-first-activity.637-644,dimock_ii,91-92,91-92,637;638;639;640;641;642;643;644,source_extracted,Exact proof-stage chain from Ω-local geometry through metric stitching to the first activity K(Y) and its ultralocal integral K#(Y).
dimockii.appendix-f.second-ursell.645-646,dimock_ii,92,92,645;646,source_extracted,"Second Ursell exponentiation defining H# from K#, with the Ω-connected Ursell coefficient and exact union constraint."
dimockii.cluster-with-holes.501-506,dimock_ii,69-70,69-70,501;502;503;504;505;506,source_extracted,"Lemma 3.18 applies Appendix F to the localized large-field fluctuation integral, with explicit t/u radii, source input bound and final metric loss."
dimockii.fluctuation-covariance.271-276,dimock_ii,38-39,38-39,271;272;273;274;275;276,source_extracted,"Section 3.8 defines the restricted fluctuation covariance, the nonlocal square-root change of variables and the resolvent/random-walk localization interface."
dimockii.lemma3.19.boundary-removal.507-510,dimock_ii,69-70,70-71 (PDF indices 69-70),507;508;509;510,source_extracted,Removal and localization of boundary-dependent terms using local influence and a Cauchy contour representation.
dimockii.lemmaE.3.modified-metric-summability.627-632,dimock_ii,89-90,90-91 (PDF indices 89-90),627;628;629;630;631;632,source_extracted,"Uniform pinned summability for polymers with holes in the modified metric d_M(-, mod Omega^c)."
dimockii.theorem3.1.normalization.201-205,dimock_ii,29,29,201;202;205,source_extracted,"Theorem 3.1 states the multiscale large/small-field representation and repeats the exact global normalization recursion under explicit large-L, large-M and small-coupling conditions."
dimockiii.final-stability.224-226,dimock_iii,33,33,224;225;226,source_extracted,"Final cluster activity estimate and stability corollary, uniform in the ultraviolet cutoff and volume index."
dimockiii.theorem1.local-e-r-b-bounds.14-25,dimock_iii,3-4,3-4,14;15;16;17;18;19;20;21;22;23;24;25,source_extracted,"Theorem 1 collects the convergent scalar RG representation and the exact local E, R and active-boundary B decay estimates."
